subject,alpha,beta
1129_02_01,0.908487732,1.081780441
c1203_1010_07,0.924797348,1.084571851
1202_02_02,0.721727317,0.876260756
1201_02_05,1.031694226,1.03955614
1129_01_02,0.805850641,0.815494679
1201_02_03,0.966699455,0.909665306
1203_03_04,0.217730074,0.70987223
1201_01_03,0.911266789,1.01370966
c1203_1310_01,1.021271802,1.184684669
1203_03_08,0.907693417,0.871771229
1130_03_03,1.071560616,1.00353353
1130_03_07,2.143649058,0.709227178
1201_03_03,0.806745356,0.690884478
c1203_1310_06,1.583061138,0.895604213
1130_01_03,1.173273295,1.017823924
c1203_1410_01,0.983206955,1.001602517
1203_01_01,1.926951329,1.051744494
1202_01_07,0.833026985,0.490457628
1201_01_09,1.067756115,1.115162861
1130_01_06,0.802623731,2.07804458
1202_01_02,0.314138692,0.828304018
1203_03_06,0.411768903,0.660959064
c1203_1010_02,3.352779786,0.784377056
1202_02_01,5.497314427,0.703416251
1203_01_06,0.195894576,0.237123506
1202_02_05,0.45721356,0.35696445
c1203_1010_01,1.098146303,0.82862688
1201_02_02,0.487126888,1.054663542
1201_02_07,0.3002094,3.832693791
1130_03_02,0.195299849,0.184668896
1203_03_03,29.89279984,0.357533065
1129_01_04,0.914355617,0.448944761
1203_03_02,1.009597065,0.761914066
1130_01_07,0.213320532,0.490144095
1130_02_01,1.030819318,0.485179303
1201_03_04,0.545972497,1.62692524
1201_01_01,0.793774982,1.007999023
1130_02_04,1.080793732,1.179113353
1130_02_03,0.287093358,0.981906701
1201_02_04,1.375596974,1.654848648
1203_02_05,0.99967398,0.489121832
1201_01_05,0.723732543,0.857007407
c1203_1010_04,0.498779809,0.620074167
c1203_1310_02,0.721396437,0.574427838
1201_02_08,1.613314011,0.473798186
1201_02_01,0.941517354,0.71821763
1201_01_04,0.727017824,0.93912427
1130_02_02,0.651960177,0.811268669
1203_01_04,0.287805623,0.265729469
1129_02_03,0.888153026,1.609273627
1203_02_02,0.213175961,2.468312474
c1203_1410_03,0.8392223,0.72615218
1130_03_06,0.395583273,0.382636839
1203_03_07,0.405196275,1.256447836
c1203_1410_05,0.599993011,1.957860654
1202_02_06,1.219077932,1.01332767
1130_01_02,2.072119635,0.708840731
1201_03_01,0.603156452,0.707616671
c1203_1310_05,1.085600981,1.031008165
1203_01_07,3.706482048,0.55164379
1201_01_08,1.413207431,1.134797213
1130_02_06,0.772782443,1.377164031
c1203_1010_06,0.950297272,2.688209528
c1203_1410_02,0.739374195,0.575147811
1201_02_06,1.094003134,0.324598981
1130_01_01,0.578312348,1.290808811
1129_01_03,0.383239488,0.261399034
c1203_1110_04,0.986153384,0.556733682
1130_01_04,0.779374471,0.712209664
1130_01_08,0.512159498,0.546630181
1129_01_05,2.015245847,1.087517867
1129_01_01,1.293511071,0.885719077
c1203_1010_03,0.508875055,2.734938216
1202_01_04,0.905483511,0.472482698
c1203_1110_03,2.425245057,1.359320681
c1203_1110_01,1.133789936,1.113274686
1130_03_08,0.59169185,0.851554693
1130_01_05,0.751779298,1.986126466
1201_03_02,1.176268847,0.630155852
1201_01_06,0.457463732,0.665901506
1203_01_05,0.643956836,620506.4966
c1203_1310_04,0.408641849,0.608952891
1201_01_02,0.981619709,0.851304601
1203_02_03,1.201646376,0.277166039
1130_03_01,0.539909005,0.987089736
1203_01_03,1.031159148,813594.3486
c1203_1310_03,0.796485807,5264371.497
